Billing account name,Billing account ID,Project name,Project ID,Project hierarchy,Service description,Service ID,SKU description,SKU ID,Credit type,Cost type,Usage start date,Usage end date,Usage amount,Usage unit,Unrounded Cost ($),Cost ($)
My Organization Billing,billingAccounts/4a6a21820c0c4fbc8a8373e0fa45ce05,Production Environment,proj-prod-aba770f0,organizations/123456789/projects/proj-prod-aba770f0,Cloud SQL,9662-B51E-5089,DB Custom Instance RAM running in Americas,E3B8-59A5-4D95,Committed Use,Regular,10/23/2024 0:00,10/25/2024 0:00,38.565025,gibibyte month,8.745321,8.75
My Organization Billing,billingAccounts/4a6a21820c0c4fbc8a8373e0fa45ce05,Development Environment,proj-dev-eaf76759,organizations/123456789/projects/proj-dev-eaf76759,Cloud SQL,9662-B51E-5089,DB Custom Instance Core running in Americas,DB74-2D52-6C76,Committed Use,Regular,10/10/2024 0:00,10/13/2024 0:00,62.104829,hour,14.063732,14.06
My Organization Billing,billingAccounts/4a6a21820c0c4fbc8a8373e0fa45ce05,Production Environment,proj-prod-aba770f0,organizations/123456789/projects/proj-prod-aba770f0,Cloud Storage,95FF-2EF5-5EA1,Download Worldwide Destinations,5F33-E86B-1A2C,,Regular,10/9/2024 0:00,10/11/2024 0:00,42.624636,gibibyte month,3.889598,3.89
My Organization Billing,billingAccounts/4a6a21820c0c4fbc8a8373e0fa45ce05,Data Analytics,proj-analytics-aaf14f98,organizations/123456789/projects/proj-analytics-aaf14f98,Cloud SQL,9662-B51E-5089,DB Custom Instance Core running in Americas,DB74-2D52-6C76,Sustained Usage,Regular,10/7/2024 0:00,10/8/2024 0:00,60.257221,hour,28.908431,28.91
My Organization Billing,billingAccounts/4a6a21820c0c4fbc8a8373e0fa45ce05,Testing Environment,proj-test-29a0cc09,organizations/123456789/projects/proj-test-29a0cc09,Cloud Storage,95FF-2EF5-5EA1,Download Worldwide Destinations,5F33-E86B-1A2C,Sustained Usage,Regular,10/4/2024 0:00,10/5/2024 0:00,64.947528,gibibyte,5.303318,5.3
My Organization Billing,billingAccounts/4a6a21820c0c4fbc8a8373e0fa45ce05,Testing Environment,proj-test-29a0cc09,organizations/123456789/projects/proj-test-29a0cc09,Cloud SQL,9662-B51E-5089,DB Custom Instance RAM running in Americas,E3B8-59A5-4D95,Sustained Usage,Regular,10/2/2024 0:00,10/6/2024 0:00,41.513724,gibibyte month,6.594192,6.59
My Organization Billing,billingAccounts/4a6a21820c0c4fbc8a8373e0fa45ce05,Production Environment,proj-prod-aba770f0,organizations/123456789/projects/proj-prod-aba770f0,Compute Engine,b2c9-4761-b091,N1 Standard Instance Core running in Americas,6C71-E844-38BC,,Regular,10/15/2024 0:00,10/17/2024 0:00,33.162771,gibibyte month,5.028841,5.03
My Organization Billing,billingAccounts/4a6a21820c0c4fbc8a8373e0fa45ce05,Testing Environment,proj-test-29a0cc09,organizations/123456789/projects/proj-test-29a0cc09,Compute Engine,b2c9-4761-b091,Storage PD Capacity,9A89-44AC-8B79,Sustained Usage,Regular,10/21/2024 0:00,10/23/2024 0:00,56.171054,gibibyte month,9.704611,9.7
My Organization Billing,billingAccounts/4a6a21820c0c4fbc8a8373e0fa45ce05,Development Environment,proj-dev-eaf76759,organizations/123456789/projects/proj-dev-eaf76759,Compute Engine,b2c9-4761-b091,N1 Standard Instance RAM running in Americas,D2D0-B928-E9CC,,Regular,10/1/2024 0:00,10/2/2024 0:00,88.536866,hour,28.211008,28.21
My Organization Billing,billingAccounts/4a6a21820c0c4fbc8a8373e0fa45ce05,Data Analytics,proj-analytics-aaf14f98,organizations/123456789/projects/proj-analytics-aaf14f98,Cloud Storage,95FF-2EF5-5EA1,Standard Storage Americas,CBA3-CC16-8B22,Sustained Usage,Regular,10/26/2024 0:00,10/28/2024 0:00,96.996177,gibibyte month,44.250829,44.25
